Temps (s),Angle (rad)
4.980616,0.276460154
4.988808,0.301592895
4.997,0.323584043
5.005192,0.348716785
5.013384,0.373849526
5.020552,0.395840674
5.028744,0.417831823
5.036936,0.442964564
5.045128,0.464955713
5.05332,0.486946861
5.060488,0.50893801
5.06868,0.530929158
5.076872,0.552920307
5.085064,0.574911456
5.093256,0.593761012
5.101448,0.61575216
5.108616,0.634601716
5.116808,0.653451272
5.125,0.672300828
5.133192,0.691150384
5.141384,0.70999994
5.148552,0.725707903
5.156744,0.744557459
5.164936,0.760265422
5.173128,0.775973385
5.18132,0.791681349
5.188488,0.804247719
5.19668,0.819955683
5.204872,0.832522053
5.213064,0.848230016
5.221256,0.860796387
5.229448,0.873362758
5.236616,0.882787536
5.244808,0.895353906
5.253,0.904778684
5.261192,0.914203462
5.269384,0.92362824
5.277576,0.933053018
5.284744,0.939336203
5.292936,0.948760981
5.301128,0.955044167
5.30932,0.961327352
5.316488,0.964468945
5.32468,0.97075213
5.332872,0.973893723
5.341064,0.977035315
5.349256,0.980176908
5.356424,0.983318501
5.368712,0.986460093
5.393288,0.983318501
5.408648,0.980176908
5.417864,0.977035315
5.425032,0.973893723
5.4322,0.97075213
5.43732,0.967610537
5.444488,0.964468945
5.45268,0.958185759
5.460872,0.951902574
5.469064,0.945619389
5.477256,0.939336203
5.484424,0.929911425
5.492616,0.92362824
5.500808,0.914203462
5.509,0.904778684
5.517192,0.892212314
5.52436,0.882787536
5.532552,0.870221165
5.540744,0.857654794
5.548936,0.845088424
5.557128,0.832522053
5.56532,0.819955683
5.572488,0.804247719
5.58068,0.788539756
5.588872,0.775973385
5.597064,0.760265422
5.605256,0.741415866
5.612424,0.725707903
5.620616,0.70999994
5.628808,0.691150384
5.637,0.672300828
5.645192,0.653451272
5.65236,0.634601716
5.660552,0.61575216
5.668744,0.596902604
5.676936,0.574911456
5.685128,0.5560619
5.692296,0.534070751
5.700488,0.512079603
5.70868,0.493230047
5.716872,0.471238898
5.725064,0.449247749
5.732232,0.424115008
5.740424,0.40212386
5.748616,0.380132711
5.756808,0.35499997
5.765,0.333008821
5.772168,0.30787608
5.78036,0.285884931
5.788552,0.26075219
5.796744,0.235619449
5.804936,0.2136283
5.812104,0.188495559
5.820296,0.163362818
5.828488,0.138230077
5.83668,0.113097336
5.844872,0.0879645943
5.853064,0.0628318531
5.860232,0.0408407045
5.868424,0.0125663706
5.876616,-0.00942477796
5.884808,-0.0345575192
5.893,-0.0596902604
5.900168,-0.0848230016
5.90836,-0.109955743
5.916552,-0.135088484
5.924744,-0.160221225
5.932936,-0.185353967
5.940104,-0.207345115
5.948296,-0.232477856
5.956488,-0.257610598
5.96468,-0.279601746
5.972872,-0.304734487
5.98004,-0.326725636
5.988232,-0.351858377
5.996424,-0.373849526
6.004616,-0.395840674
6.012808,-0.420973416
6.021,-0.442964564
6.028168,-0.464955713
6.03636,-0.483805269
6.044552,-0.505796417
6.052744,-0.527787566
6.060936,-0.546637122
6.068104,-0.56862827
6.076296,-0.587477826
6.084488,-0.606327382
6.09268,-0.625176938
6.100872,-0.644026494
6.10804,-0.659734457
6.116232,-0.678584013
6.124424,-0.694291976
6.132616,-0.713141532
6.140808,-0.728849496
6.147976,-0.741415866
6.156168,-0.75712383
6.16436,-0.772831793
6.172552,-0.785398163
6.180744,-0.797964534
6.188936,-0.810530905
6.196104,-0.823097275
6.204296,-0.835663646
6.212488,-0.845088424
6.22068,-0.854513202
6.228872,-0.86393798
6.23604,-0.873362758
6.244232,-0.882787536
6.252424,-0.889070721
6.260616,-0.898495499
6.268808,-0.904778684
6.275976,-0.91106187
6.284168,-0.914203462
6.29236,-0.920486648
6.300552,-0.92362824
6.308744,-0.926769833
6.316936,-0.929911425
6.324104,-0.933053018
6.371208,-0.929911425
6.381448,-0.926769833
6.388616,-0.92362824
6.396808,-0.920486648
