Temps (s),Angle (rad)
8.33966,-0.857654794
8.346828,-0.854513202
8.352972,-0.851371609
8.359116,-0.848230016
8.367308,-0.841946831
8.3755,-0.838805239
8.383692,-0.832522053
8.391884,-0.823097275
8.399052,-0.81681409
8.407244,-0.807389312
8.415436,-0.797964534
8.423628,-0.788539756
8.43182,-0.779114978
8.440012,-0.7696902
8.44718,-0.760265422
8.455372,-0.747699052
8.463564,-0.735132681
8.471756,-0.72256631
8.479948,-0.70999994
8.487116,-0.697433569
8.495308,-0.684867198
8.5035,-0.669159235
8.511692,-0.653451272
8.519884,-0.637743309
8.528076,-0.622035345
8.535244,-0.606327382
8.543436,-0.590619419
8.551628,-0.574911456
8.55982,-0.5560619
8.568012,-0.537212344
8.57518,-0.518362788
8.583372,-0.499513232
8.591564,-0.483805269
8.599756,-0.464955713
8.607948,-0.442964564
8.61614,-0.424115008
8.623308,-0.405265452
8.6315,-0.383274304
8.639692,-0.364424748
8.647884,-0.342433599
8.656076,-0.320442451
8.664268,-0.301592895
8.671436,-0.279601746
8.679628,-0.257610598
8.68782,-0.235619449
8.696012,-0.2136283
8.704204,-0.191637152
8.711372,-0.169646003
8.719564,-0.147654855
8.727756,-0.122522113
8.735948,-0.100530965
8.74414,-0.0785398163
8.752332,-0.0565486678
8.7595,-0.0345575192
8.767692,-0.0125663706
8.775884,0.0125663706
8.784076,0.0345575192
8.792268,0.0565486678
8.799436,0.0785398163
8.807628,0.100530965
8.81582,0.122522113
8.824012,0.147654855
8.832204,0.169646003
8.840396,0.191637152
8.847564,0.2136283
8.855756,0.232477856
8.863948,0.254469005
8.87214,0.276460154
8.880332,0.298451302
8.8875,0.320442451
8.895692,0.339292007
8.903884,0.361283155
8.912076,0.380132711
8.920268,0.40212386
8.927436,0.420973416
8.935628,0.439822972
8.94382,0.458672527
8.952012,0.477522083
8.960204,0.496371639
8.968396,0.515221195
8.975564,0.530929158
8.983756,0.549778714
8.991948,0.56862827
9.00014,0.584336234
9.008332,0.600044197
9.0155,0.61575216
9.023692,0.631460123
9.031884,0.647168087
9.040076,0.66287605
9.048268,0.675442421
9.05646,0.688008791
9.063628,0.703716754
9.07182,0.716283125
9.080012,0.728849496
9.088204,0.738274274
9.096396,0.750840644
9.103564,0.763407015
9.111756,0.772831793
9.119948,0.782256571
9.12814,0.791681349
9.136332,0.801106127
9.144524,0.807389312
9.151692,0.81681409
9.159884,0.823097275
9.168076,0.829380461
9.176268,0.835663646
9.18446,0.841946831
9.191628,0.848230016
9.19982,0.851371609
9.208012,0.854513202
9.216204,0.857654794
9.224396,0.860796387
9.231564,0.86393798
9.241804,0.867079572
9.278668,0.86393798
9.29198,0.860796387
9.301196,0.857654794
9.309388,0.854513202
9.315532,0.851371609
9.321676,0.848230016
9.32782,0.845088424
9.336012,0.841946831
9.344204,0.835663646
9.351372,0.829380461
9.359564,0.823097275
9.367756,0.813672497
9.375948,0.807389312
9.38414,0.797964534
9.392332,0.788539756
9.3995,0.779114978
9.407692,0.7696902
9.415884,0.760265422
9.424076,0.747699052
9.431244,0.738274274
9.439436,0.725707903
9.447628,0.713141532
9.45582,0.700575162
9.464012,0.688008791
9.472204,0.675442421
9.479372,0.659734457
9.487564,0.644026494
9.495756,0.631460123
9.503948,0.61575216
9.51214,0.600044197
9.519308,0.581194641
9.5275,0.565486678
9.535692,0.549778714
9.543884,0.530929158
9.552076,0.515221195
9.559244,0.496371639
9.567436,0.477522083
9.575628,0.458672527
9.58382,0.439822972
9.592012,0.420973416
9.600204,0.40212386
9.607372,0.380132711
9.615564,0.361283155
9.623756,0.339292007
9.631948,0.320442451
9.64014,0.298451302
9.647308,0.279601746
9.6555,0.257610598
9.663692,0.235619449
9.671884,0.2136283
9.680076,0.194778745
9.687244,0.172787596
9.695436,0.150796447
9.703628,0.128805299
9.71182,0.10681415
9.720012,0.0848230016
9.728204,0.0596902604
9.735372,0.0376991118
9.743564,0.0157079633
9.751756,-0.00628318531
9.759948,-0.0282743339
9.76814,-0.0502654825
9.775308,-0.072256631
9.7835,-0.0942477796
9.791692,-0.116238928
9.799884,-0.138230077
9.808076,-0.160221225
9.815244,-0.182212374
9.823436,-0.204203522
9.831628,-0.226194671
9.83982,-0.245044227
9.848012,-0.267035376
9.85518,-0.289026524
9.863372,-0.311017673
9.871564,-0.329867229
9.879756,-0.351858377
9.887948,-0.370707933
9.89614,-0.389557489
9.903308,-0.411548638
9.9115,-0.430398194
9.919692,-0.449247749
9.927884,-0.468097305
9.936076,-0.486946861
9.943244,-0.502654825
9.951436,-0.52150438
