Wavelength (nm) - Measure	Measured Reflectance (%)  - Measure	Wavelength (nm) - Fit	Theorical Reflectance (0..1) - Fit	Wavelength (nm) - Tracé 2	Theorical Reflectance (0..1) - Tracé 2
557	96.367	742.75	0.695101	0.96367	
557.35	97.078	743.75	0.692616	0.97078	
557.71	99.083	744.75	0.689828	0.99083	
558.06	100.373	745.75	0.686966	1.00373	
558.41	101.465	746.75	0.684036	1.01465	
558.76	100.454	747.75	0.681247	1.00454	
559.12	103.211	748.75	0.678173	1.03211	
559.47	102.252	749.75	0.675264	1.02252	
559.82	103.276	750.75	0.672056	1.03276	
560.18	104.301	751.75	0.668796	1.04301	
560.53	103.358	752.75	0.665711	1.03358	
560.88	103.581	753.75	0.662335	1.03581	
561.23	105.249	754.75	0.658925	1.05249	
561.58	105.226	755.75	0.655676	1.05226	
561.94	108.618	756.75	0.652158	1.08618	
562.29	107.89	757.75	0.648616	1.0789	
562.64	106.217	758.75	0.64523	1.06217	
562.99	106.066	759.75	0.641604	1.06066	
563.34	107.739	760.75	0.638158	1.07739	
563.7	108.261	761.75	0.632726	1.08261	
564.05	111.734	762.75	0.629043	1.11734	
564.4	108.34	763.75	0.625503	1.0834	
564.75	110.386	764.75	0.621744	1.10386	
565.1	110.602	765.75	0.618202	1.10602	
565.45	111.98	766.75	0.614412	1.1198	
565.8	111.686	767.75	0.610631	1.11686	
566.15	113.191	768.75	0.607045	1.13191	
566.5	113.211	769.75	0.603259	1.13211	
566.85	114.226	770.75	0.599676	1.14226	
567.2	112.685	771.75	0.595893	1.12685	
567.56	113.84	772.75	0.59234	1.1384	
567.91	114.042	773.75	0.588577	1.14042	
568.26	114.917	774.75	0.584832	1.14917	
568.61	114.239	775.75	0.581325	1.14239	
568.96	116.3	776.75	0.577625	1.163	
569.31	111.704	777.75	0.574166	1.11704	
569.66	115.188	778.75	0.570523	1.15188	
570	116.336	779.75	0.567108	1.16336	
570.35	117.854	780.75	0.563546	1.17854	
570.7	116.446	781.75	0.559998	1.16446	
571.05	116.331	782.75	0.556731	1.16331	
571.4	117.818	783.75	0.553267	1.17818	
571.75	117.114	784.75	0.550109	1.17114	
572.1	117.391	785.75	0.546758	1.17391	
572.45	118.092	786.75	0.543613	1.18092	
572.8	116.603	787.75	0.540434	1.16603	
573.15	118.75	788.75	0.537395	1.1875	
573.5	118.086	789.75	0.53435	1.18086	
573.84	117.051	790.75	0.531287	1.17051	
574.19	116.952	791.75	0.528562	1.16952	
574.54	119.374	792.75	0.525636	1.19374	
574.89	120.074	793.75	0.523026	1.20074	
575.24	117.164	794.75	0.520248	1.17164	
575.58	118.985	795.75	0.517608	1.18985	
575.93	120.044	796.75	0.515164	1.20044	
576.28	118.495	797.75	0.512663	1.18495	
576.63	118.532	798.75	0.510406	1.18532	
576.97	117.539	799.75	0.508054	1.17539	
577.32	117.857	800.75	0.505982	1.17857	
577.67	118.578	801.75	0.503815	1.18578	
578.02	119.535	802.75	0.501889	1.19535	
578.36	117.225	803.75	0.49993	1.17225	
578.71	115.709	804.75	0.498009	1.15709	
579.06	117.232	805.75	0.496421	1.17232	
579.4	117.208	806.75	0.494693	1.17208	
579.75	116.111	807.75	0.493317	1.16111	
580.1	119.904	808.75	0.491774	1.19904	
580.44	117.847	809.75	0.490557	1.17847	
580.79	116.32	810.75	0.489223	1.1632	
581.13	116.243	811.75	0.487977	1.16243	
581.48	115.559	812.75	0.487067	1.15559	
581.83	117.26	813.75	0.486018	1.1726	
582.17	115.537	814.75	0.485335	1.15537	
582.52	118.75	815.75	0.484483	1.1875	
582.86	119.228	816.75	0.48396	1.19228	
583.21	115.364	817.75	0.483318	1.15364	
583.55	116.678	818.75	0.482941	1.16678	
583.9	114.351	819.75	0.482545	1.14351	
584.24	115.415	820.75	0.482197	1.15415	
584.59	115.167	821.75	0.482172	1.15167	
584.93	113.429	822.75	0.482032	1.13429	
585.28	114.641	823.75	0.482197	1.14641	
585.62	114.612	824.75	0.48224	1.14612	
585.97	115.917	825.75	0.482602	1.15917	
586.31	114.824	826.75	0.482815	1.14824	
586.65	112.254	827.75	0.483328	1.12254	
587	116.252	828.75	0.483759	1.16252	
587.34	113.61	829.75	0.484342	1.1361	
587.69	113.021	830.75	0.485063	1.13021	
588.03	112.605	831.75	0.485728	1.12605	
588.37	109.568	832.75	0.486707	1.09568	
588.72	111.111	833.75	0.487546	1.11111	
589.06	109.848	834.75	0.488694	1.09848	
589.4	112.807	835.75	0.489708	1.12807	
589.75	110.597	836.75	0.49099	1.10597	
590.09	108.28	837.75	0.492159	1.0828	
590.43	111.14	838.75	0.493618	1.1114	
590.77	107.269	839.75	0.494917	1.07269	
591.12	107.829	840.75	0.496504	1.07829	
591.46	107.244	841.75	0.497956	1.07244	
591.8	107.917	842.75	0.49967	1.07917	
592.14	108.01	843.75	0.50126	1.0801	
592.49	106.611	844.75	0.503099	1.06611	
592.83	106.448	845.75	0.504811	1.06448	
593.17	107.623	846.75	0.506778	1.07623	
593.51	104.911	847.75	0.508569	1.04911	
593.85	104.689	848.75	0.512102	1.04689	
594.19	101.948	849.75	0.51408	1.01948	
594.54	104.793	850.75	0.516297	1.04793	
594.88	102.725	851.75	0.518556	1.02725	
595.22	102.403	852.75	0.520644	1.02403	
595.56	103.419	853.75	0.522978	1.03419	
595.9	101.616	854.75	0.525145	1.01616	
596.24	101.748	855.75	0.527569	1.01748	
596.58	101.691	856.75	0.530007	1.01691	
596.92	101.365	857.75	0.532299	1.01365	
